time_ms,ent_idx,bone,world_x,world_y,world_z,scr_x,scr_y,visible,box_x,box_y,box_w,box_h,bonearray_ptr,vm_w0,vm_w1,vm_w2,vm_w3
40802126,23,neck_0,-510.32,1151.53,60.14,1091.26,530.39,1,1075.23,523.53,30.39,50.65,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40802126,23,pelvis,-508.60,1157.59,38.67,1093.77,545.93,1,1075.23,523.53,30.39,50.65,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40802126,23,ankle_L,-498.44,1146.31,4.39,1098.40,571.39,1,1075.23,523.53,30.39,50.65,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40802126,23,ankle_R,-519.57,1162.80,4.43,1087.20,570.29,1,1075.23,523.53,30.39,50.65,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40802126,24,head,-1148.03,828.81,63.99,576.86,527.59,1,483.69,508.65,164.19,236.73,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40802126,24,neck_0,-1150.32,832.43,60.14,578.28,530.34,1,483.69,508.65,164.19,236.73,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40802126,24,pelvis,-1151.85,838.54,38.67,581.80,545.56,1,483.69,508.65,164.19,236.73,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40802126,24,ankle_L,-1137.42,833.85,4.39,585.47,570.34,1,483.69,508.65,164.19,236.73,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40802126,24,ankle_R,-1163.96,837.57,4.43,575.94,569.65,1,483.69,508.65,164.19,236.73,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40802126,25,head,-829.21,1147.74,63.99,894.73,527.58,1,839.87,512.95,397.91,182.87,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40802126,25,neck_0,-830.26,1151.89,60.14,895.62,530.01,1,839.87,512.95,397.91,182.87,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40802126,25,pelvis,-829.84,1158.18,38.67,898.03,543.50,1,839.87,512.95,397.91,182.87,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40802126,25,ankle_L,-817.56,1149.26,4.39,901.55,565.49,1,839.87,512.95,397.91,182.87,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40802126,25,ankle_R,-841.65,1160.99,4.43,892.81,564.75,1,839.87,512.95,397.91,182.87,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40803127,23,head,-510.04,1147.54,63.93,1090.57,527.63,1,1075.39,523.58,30.36,50.60,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40803127,23,neck_0,-510.14,1151.83,60.09,1091.45,530.43,1,1075.39,523.58,30.36,50.60,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40803127,23,pelvis,-508.60,1157.59,38.67,1093.77,545.93,1,1075.39,523.58,30.36,50.60,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40803127,23,ankle_L,-498.44,1146.31,4.39,1098.40,571.39,1,1075.39,523.58,30.36,50.60,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40803127,23,ankle_R,-519.57,1162.80,4.43,1087.20,570.29,1,1075.39,523.58,30.36,50.60,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40803127,24,head,-1148.07,829.11,63.93,577.05,527.63,1,338.88,507.52,313.57,251.35,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40803127,24,neck_0,-1150.31,832.78,60.09,578.52,530.38,1,338.88,507.52,313.57,251.35,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40803127,24,pelvis,-1151.85,838.54,38.67,581.80,545.56,1,338.88,507.52,313.57,251.35,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40803127,24,ankle_L,-1137.42,833.85,4.39,585.47,570.34,1,338.88,507.52,313.57,251.35,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40803127,24,ankle_R,-1163.96,837.57,4.43,575.94,569.65,1,338.88,507.52,313.57,251.35,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
